"","X","species","avg_score","clim_match","batch","native","established","aquatic","climate_mismatch","ref","X.1"
"1",1,"Abbottina_rivularis",0.035166809,"Low","2011_2040","N","N","Y","N","https://fishbase.mnhn.fr/summary/22903",""
"2",8,"Alchemilla_glaucescens",0.209553045,"Low","2011_2040","N","N","Y","N","https://en.hortipedia.com/Alchemilla_glaucescens",""
"3",10,"Alternanthera_sessilis",0.018321505,"Low","2011_2040","N","N","Y","N","https://www.fdacs.gov/Agriculture-Industry/Pests-and-Diseases/Plant-Pests-and-Diseases/Noxious-Weeds/Alternanthera-sessilis-Sessile-Joyweed",""
"4",12,"Amaranthus_blitum",0.333672757,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.4648",""
"5",33,"Brachypodium_sylvaticum",0.891349163,"Low","2011_2040","N","N","Y","N","https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=242466",""
"6",35,"Bromus_diandrus",0.027268425,"Low","2011_2040","N","N","Y","N","https://www.cal-ipc.org/plants/profile/bromus-diandrus-profile/",""
"7",41,"Caltha_leptosepala",1.099148039,"Medium","2011_2040","N","N","Y","N","https://www.fs.usda.gov/wildflowers/plant-of-the-week/caltha_leptosepala.shtml",""
"8",42,"Canna_indica",0.014538232,"Low","2011_2040","N","N","Y","N","https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1779",""
"9",45,"Cardiospermum_halicacabum",0.001284378,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/full/10.1079/cabicompendium.16033",""
"10",51,"Centella_asiatica",0.001000741,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.12048",""
"11",55,"Cherax_destructor",0.000379111,"Low","2011_2040","N","N","Y","N","https://nas.er.usgs.gov/queries/greatLakes/FactSheet.aspx?Species_ID=3648&Potential=Y&Type=2",""
"12",59,"Clupeonella_cultriventris",0.161639439,"Low","2011_2040","N","N","Y","N","https://nas.er.usgs.gov/queries/greatlakes/FactSheet.aspx?Species_ID=3634&Potential=Y&Type=2",""
"13",61,"Coregonus_albula",0.128987424,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.109136",""
"14",62,"Corymbia_citriodora",6.77e-05,"Low","2011_2040","N","N","Y","N","https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=885",""
"15",68,"Cyclanthera_pedata",0.000225131,"Low","2011_2040","N","N","Y","N","https://www.minnesotawildflowers.info/flower/giant-sumpweed",""
"16",72,"Cyperus_difformis",0.021589813,"Low","2011_2040","N","N","Y","N","https://plants.ifas.ufl.edu/plant-directory/cyperus-difformis/",""
"17",74,"Daphnia_lumholtzi",0.077200304,"Low","2011_2040","N","N","Y","N","https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=164",""
"18",89,"Fatoua_villosa",0.042623088,"Low","2011_2040","N","N","Y","N","https://www.invasive.org/browse/subinfo.cfm?sub=5639",""
"19",93,"Galega_officinalis",0.160911905,"Low","2011_2040","N","N","Y","N","https://inspection.canada.ca/plant-health/seeds/seed-testing-and-grading/seeds-identification/galega-officinalis/eng/1405080573911/1405080574833","NOTE: Regulated Noxious Weed in Canada"
"20",97,"Gambusia_holbrooki",0.007937344,"Low","2011_2040","N","N","Y","N","https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=849",""
"21",110,"Hedychium_coronarium",0.081065265,"Low","2011_2040","N","N","Y","N","https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=287579",""
"22",114,"Heliotropium_curassavicum",0.573724419,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=hecu3",""
"23",115,"Heliotropium_indicum",0.001160186,"Low","2011_2040","N","N","Y","N","https://gobotany.nativeplanttrust.org/species/heliotropium/indicum/",""
"24",116,"Hemibarbus_maculatus",0.040463256,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.110573",""
"25",117,"Hemiculter_leucisculus",0.030220469,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.110574",""
"26",118,"Heteranthera_rotundifolia",0.001511406,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=HERO5",""
"27",131,"Hypericum_gymnanthum",0.001314097,"Low","2011_2040","N","N","Y","N","https://www.illinoiswildflowers.info/wetland/plants/cl_stjohnwort.htm",""
"28",133,"Impatiens_balfourii",0.103753644,"Low","2011_2040","N","N","Y","N","http://www.misin.msu.edu/facts/detail/?project=misin&id=296&cname=Balfour%27s%20touch-me-not",""
"29",135,"Ipomoea_aquatica",0.000895413,"Low","2011_2040","N","N","Y","N","https://plants.ifas.ufl.edu/plant-directory/ipomoea-aquatica/",""
"30",143,"Lemna_aequinoctialis",0.006315831,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.121132",""
"31",153,"Linum_virginianum",0.033957324,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=LIVI",""
"32",161,"Ludwigia_grandiflora",0.025914004,"Low","2011_2040","N","N","Y","N","https://plants.ifas.ufl.edu/plant-directory/ludwigia-grandiflora/",""
"33",165,"Lysichiton_camtschatcensis",0.358509832,"Low","2011_2040","N","N","Y","N","https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=276370",""
"34",166,"Lythrum_hyssopifolium",0.000107981,"Low","2011_2040","N","N","Y","N","https://gobotany.nativeplanttrust.org/species/lythrum/hyssopifolia/",""
"35",170,"Marsilea_minuta",0.014473082,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.32557",""
"36",180,"Misopates_orontium",0.060476972,"Low","2011_2040","N","N","Y","N","https://gobotany.nativeplanttrust.org/species/misopates/orontium/",""
"37",185,"Nasturtium_sterile",0.00241395,"Low","2011_2040","N","N","Y","N","https://pfaf.org/User/Plant.aspx?LatinName=Nasturtium+x+sterile",""
"38",186,"Neogobius_fluviatilis",0.020410639,"Low","2011_2040","N","N","Y","N","https://www.fws.gov/sites/default/files/documents/Ecological-Risk-Screening-Summary-Monkey-Goby.pdf",""
"39",188,"Neyraudia_reynaudiana",0.00187826,"Low","2011_2040","N","N","Y","N","https://www.iucngisd.org/gisd/species.php?sc=303",""
"40",193,"Nymphaea_tetragona",2.157984434,"High","2011_2040","N","N","Y","N","https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?sciname=Nymphaea%20tetragona",""
"41",194,"Oenothera_flava",0.450325083,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=OEFL",""
"42",203,"Orontium_aquaticum",0.037418187,"Low","2011_2040","N","N","Y","N","https://plants.ifas.ufl.edu/plant-directory/orontium-aquaticum/",""
"43",205,"Osmerus_eperlanus",0.125144907,"Low","2011_2040","N","N","Y","N","https://fishbase.mnhn.fr/summary/1334",""
"44",213,"Palaemon_longirostris",3.77e-05,"Low","2011_2040","N","N","Y","N","https://www.sealifebase.ca/summary/Palaemon-longirostris.html",""
"45",219,"Paspalum_notatum",8.96e-07,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.38954",""
"46",220,"Paspalum_urvillei",5.24e-05,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.109621",""
"47",221,"Paspalum_vaginatum",0.000866683,"Low","2011_2040","N","N","Y","N","https://www.cal-ipc.org/plants/profile/paspalum-vaginatum-profile/",""
"48",230,"Physalis_angulata",0.002388505,"Low","2011_2040","N","N","Y","N","https://gobotany.nativeplanttrust.org/species/physalis/angulata/",""
"49",241,"Polygonum_plebeium",0.000600513,"Low","2011_2040","N","N","Y","N","https://www.nzpcn.org.nz/flora/species/polygonum-plebeium/",""
"50",242,"Potamocorbula_amurensis",0.000889972,"Low","2011_2040","N","N","Y","N","https://invasions.si.edu/nemesis/species_summary/81746",""
"51",243,"Potamothrix_bavaricus",0.000607209,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.116497",""
"52",245,"Potentilla_supina",1.34618365,"Medium","2011_2040","N","N","Y","N","https://www.saskwildflower.ca/nat_Potentilla-supina-ssp-paradoxa.html",""
"53",247,"Prymnesium_parvum",0.005097292,"Low","2011_2040","N","N","Y","N","https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=3234",""
"54",252,"Puccinellia_nuttalliana",3.505355112,"High","2011_2040","N","N","Y","N","https://gobotany.nativeplanttrust.org/species/puccinellia/nuttalliana/",""
"55",262,"Rosa_micrantha",0.0768537,"Low","2011_2040","N","N","Y","N","https://gobotany.nativeplanttrust.org/species/rosa/micrantha/",""
"56",271,"Sagina_saginoides",2.096576285,"High","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=SASA",""
"57",272,"Sagittaria_platyphylla",0.01253734,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=sapl",""
"58",274,"Salsola_soda",0.000201124,"Low","2011_2040","N","N","Y","N","https://www.cal-ipc.org/plants/profile/salsola-soda-profile/","NOTE: Esturine species"
"59",277,"Salvinia_auriculata",8.09e-05,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.48444",""
"60",299,"Sesbania_herbacea",0.003982645,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=sehe8",""
"61",300,"Seseli_libanotis",1.277106423,"Medium","2011_2040","N","N","Y","N","https://luontoportti.com/en/t/2335/moon-carrot",""
"62",302,"Sidalcea_malviflora",0.045708134,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=SIMA2",""
"63",310,"Solanum_chenopodioides",0.021035233,"Low","2011_2040","N","N","Y","N","https://www.nzpcn.org.nz/flora/species/solanum-chenopodioides/",""
"64",321,"Stenotaphrum_secundatum",0.000939615,"Low","2011_2040","N","N","Y","N","https://plants.ces.ncsu.edu/plants/stenotaphrum-secundatum/",""
"65",330,"Theora_lubrica",4.63e-05,"Low","2011_2040","N","N","Y","N","https://invasions.si.edu/nemesis/species_summary/81322","NOTE: Esturine species"
"66",349,"Typha_domingensis",0.049347994,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=TYDO",""
"67",353,"Urtica_chamaedryoides",0.000585435,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=urch3",""
"68",355,"Vallisneria_spiralis",0.030958992,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.56573",""
"69",362,"Verbena_urticifolia",0.65164666,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=VEUR",""
"70",363,"Verbesina_alternifolia",0.050434193,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=VEAL",""
"71",364,"Verbesina_occidentalis",0.010130779,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=VEOC",""
"72",374,"Vitis_cinerea",0.015414006,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=VICIH",""
"73",375,"Wolffia_arrhiza",0.124491567,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=WOAR2",""
"74",376,"Xanthium_spinosum",0.162410613,"Low","2011_2040","N","N","Y","N","https://wiki.bugwood.org/Xanthium_spinosum",""
"75",377,"Xiphophorus_hellerii",0.127931326,"Low","2011_2040","N","N","Y","N","https://www.fishbase.se/summary/Xiphophorus-hellerii",""
"76",378,"Xiphophorus_maculatus",0.066740272,"Low","2011_2040","N","N","Y","N","https://www.fishbase.se/summary/Xiphophorus-maculatus",""
