"","species"
"1","Abramis_brama"
"2","Acantharchus_pomotis"
"3","Alburnoides_bipunctatus"
"4","Alternanthera_philoxeroides"
"5","Ambloplites_rupestris"
"6","Ameiurus_catus"
"7","Ameiurus_natalis"
"8","Amia_calva"
"9","Barbatula_barbatula"
"10","Bithynia_tentaculata"
"11","Carassius_carassius"
"12","Carassius_gibelio"
"13","Cercopagis_pengoi"
"14","Channa_argus"
"15","Corbicula_fluminea"
"16","Cyprinella_lutrensis"
"17","Dikerogammarus_villosus"
"18","Dorosoma_cepedianum"
"19","Dreissena_polymorpha"
"20","Elodea_callitrichoides"
"21","Enneacanthus_gloriosus"
"22","Erimyzon_sucetta"
"23","Eriocheir_japonica"
"24","Esox_lucius"
"25","Esox_masquinongy"
"26","Esox_reichertii"
"27","Gambusia_affinis"
"28","Gila_atraria"
"29","Gymnocephalus_cernua"
"30","Hydrilla_verticillata"
"31","Hydrocharis_morsus-ranae"
"32","Ictalurus_furcatus"
"33","Lagarosiphon_major"
"34","Lepisosteus_oculatus"
"35","Lepisosteus_osseus"
"36","Lepisosteus_platostomus"
"37","Lepomis_cyanellus"
"38","Lepomis_gibbosus"
"39","Lepomis_humilis"
"40","Lepomis_macrochirus"
"41","Lepomis_megalotis"
"42","Lepomis_microlophus"
"43","Lepomis_peltastes"
"44","Leuciscus_aspius"
"45","Leuciscus_idus"
"46","Leuciscus_leuciscus"
"47","Marsilea_quadrifolia"
"48","Menidia_beryllina"
"49","Micropterus_salmoides"
"50","Misgurnus_anguillicaudatus"
"51","Myocastor_coypus"
"52","Myriophyllum_aquaticum"
"53","Myriophyllum_spicatum"
"54","Mytilopsis_leucophaeata"
"55","Najas_marina"
"56","Najas_minor"
"57","Neogobius_melanostomus"
"58","Nitellopsis_obtusa"
"59","Oreochromis_aureus"
"60","Oreochromis_niloticus"
"61","Perca_fluviatilis"
"62","Perccottus_glenii"
"63","Phoxinus_phoxinus"
"64","Pisidium_amnicum"
"65","Poecilia_reticulata"
"66","Polyodon_spathula"
"67","Pontastacus_leptodactylus"
"68","Pontogammarus_robustoides"
"69","Potamogeton_crispus"
"70","Potamopyrgus_antipodarum"
"71","Procambarus_clarkii"
"72","Procambarus_virginalis"
"73","Proterorhinus_semilunaris"
"74","Pseudorasbora_parva"
"75","Pterygoplichthys_pardalis"
"76","Pygocentrus_nattereri"
"77","Pylodictis_olivaris"
"78","Radix_auricularia"
"79","Rhodeus_amarus"
"80","Rutilus_rutilus"
"81","Salvinia_minima"
"82","Salvinia_molesta"
"83","Sander_lucioperca"
"84","Sander_vitreus"
"85","Silurus_asotus"
"86","Silurus_glanis"
"87","Sphaerium_corneum"
"88","Stratiotes_aloides"
"89","Thymallus_arcticus"
"90","Tinca_tinca"
"91","Trapa_natans"
"92","Valvata_piscinalis"
"93","Vimba_vimba"
"94","Abbottina_rivularis"
"95","Aeschynomene_indica"
"96","Alburnus_alburnus"
"97","Alpinia_zerumbet"
"98","Alternanthera_sessilis"
"99","Ameiurus_melas"
"100","Astronotus_ocellatus"
"101","Atriplex_hortensis"
"102","Bacopa_monnieri"
"103","Boltonia_asteroides"
"104","Bythotrephes_longimanus"
"105","Cabomba_caroliniana"
"106","Castor_canadensis"
"107","Channa_marulius"
"108","Clupeonella_cultriventris"
"109","Corbicula_fluminalis"
"110","Coregonus_albula"
"111","Crassula_helmsii"
"112","Ctenopharyngodon_idella"
"113","Cyperus_difformis"
"114","Cyperus_iria"
"115","Cyperus_microiria"
"116","Cyperus_papyrus"
"117","Cyperus_strigosus"
"118","Cyprinus_carpio"
"119","Daphnia_ambigua"
"120","Daphnia_lumholtzi"
"121","Dendrobaena_hortensis"
"122","Digitalis_grandiflora"
"123","Echinochloa_crus-pavonis"
"124","Elodea_nuttallii"
"125","Equisetum_palustre"
"126","Eriocheir_sinensis"
"127","Fatoua_villosa"
"128","Faxonius_limosus"
"129","Faxonius_rusticus"
"130","Faxonius_virilis"
"131","Filipendula_rubra"
"132","Filipendula_vulgaris"
"133","Galium_uliginosum"
"134","Gambusia_holbrooki"
"135","Gammarus_tigrinus"
"136","Gardenia_jasminoides"
"137","Geranium_sylvaticum"
"138","Geum_aleppicum"
"139","Glossostigma_cleistanthum"
"140","Glyceria_declinata"
"141","Glyceria_maxima"
"142","Goodyera_repens"
"143","Gratiola_officinalis"
"144","Hemibarbus_maculatus"
"145","Hemiculter_leucisculus"
"146","Hemimysis_anomala"
"147","Heteranthera_rotundifolia"
"148","Hieracium_piloselloides"
"149","Hypericum_gymnanthum"
"150","Ictalurus_punctatus"
"151","Illecebrum_verticillatum"
"152","Ipomoea_aquatica"
"153","Ipomoea_purpurea"
"154","Juncus_compressus"
"155","Juncus_ensifolius"
"156","Lemna_minuta"
"157","Lepomis_gulosus"
"158","Leucaspius_delineatus"
"159","Ligustrum_sinense"
"160","Limnomysis_benedeni"
"161","Limosella_aquatica"
"162","Ludwigia_alternifolia"
"163","Ludwigia_grandiflora"
"164","Ludwigia_peploides"
"165","Lysichiton_americanus"
"166","Lysichiton_camtschatcensis"
"167","Lythrum_portula"
"168","Lythrum_virgatum"
"169","Mentha_aquatica"
"170","Micropterus_dolomieu"
"171","Mikania_scandens"
"172","Montia_fontana"
"173","Muhlenbergia_frondosa"
"174","Myriophyllum_heterophyllum"
"175","Mysis_relicta"
"176","Nasturtium_microphyllum"
"177","Nasturtium_sterile"
"178","Neogobius_fluviatilis"
"179","Nuphar_pumila"
"180","Nymphaea_tetragona"
"181","Oenothera_flava"
"182","Oenothera_parviflora"
"183","Oncorhynchus_tshawytscha"
"184","Orontium_aquaticum"
"185","Osmerus_eperlanus"
"186","Pacifastacus_leniusculus"
"187","Paspalum_distichum"
"188","Piaractus_brachypomus"
"189","Pimephales_promelas"
"190","Polydora_cornuta"
"191","Polygonum_bistorta"
"192","Polygonum_ramosissimum"
"193","Polypogon_monspeliensis"
"194","Pomoxis_annularis"
"195","Pomoxis_nigromaculatus"
"196","Potamocorbula_amurensis"
"197","Potamogeton_compressus"
"198","Potamothrix_bavaricus"
"199","Potamothrix_vejdovskyi"
"200","Potentilla_supina"
"201","Proasellus_coxalis"
"202","Prunella_laciniata"
"203","Prymnesium_parvum"
"204","Pseudopolydora_paucibranchiata"
"205","Pulicaria_dysenterica"
"206","Rhithropanopeus_harrisii"
"207","Rorippa_austriaca"
"208","Rorippa_curvisiliqua"
"209","Rotala_ramosior"
"210","Rumex_thyrsiflorus"
"211","Sagittaria_lancifolia"
"212","Sagittaria_platyphylla"
"213","Sagittaria_sagittifolia"
"214","Sagittaria_subulata"
"215","Salicornia_europaea"
"216","Salix_eleagnos"
"217","Salmo_salar"
"218","Salvelinus_namaycush"
"219","Sanguisorba_officinalis"
"220","Sarracenia_flava"
"221","Scardinius_erythrophthalmus"
"222","Schoenoplectus_litoralis"
"223","Scrophularia_auriculata"
"224","Scrophularia_canina"
"225","Sesbania_herbacea"
"226","Spartium_junceum"
"227","Stachytarpheta_jamaicensis"
"228","Talipariti_tiliaceum"
"229","Tropaeolum_majus"
"230","Typha_domingensis"
"231","Typha_glauca"
"232","Umbra_pygmaea"
"233","Vallisneria_spiralis"
"234","Wolffia_arrhiza"
"235","Xiphophorus_hellerii"
"236","Andropogon_glomeratus"
"237","Arundo_donax"
"238","Imperata_cylindrica"
"239","Sporobolus_pyramidatus"
"240","Tetragonia_tetragonioides"
"241","Abelmoschus_esculentus"
"242","Abutilon_indicum"
"243","Achillea_pannonica"
"244","Achyranthes_aspera"
"245","Aconitum_lycoctonum"
"246","Alchemilla_glaucescens"
"247","Alyssum_simplex"
"248","Amaranthus_blitum"
"249","Amaranthus_hybridus"
"250","Amaranthus_viridis"
"251","Amsonia_tabernaemontana"
"252","Andropogon_virginicus"
"253","Apera_interrupta"
"254","Arctotheca_calendula"
"255","Areca_catechu"
"256","Artocarpus_heterophyllus"
"257","Asclepias_curassavica"
"258","Aster_dumosus"
"259","Aster_versicolor"
"260","Astragalus_galegiformis"
"261","Bassia_prostrata"
"262","Bidens_ferulifolia"
"263","Bidens_pilosa"
"264","Brachypodium_sylvaticum"
"265","Bromus_diandrus"
"266","Bromus_japonicus"
"267","Bromus_kalmii"
"268","Bromus_squarrosus"
"269","Bunium_bulbocastanum"
"270","Calotropis_gigantea"
"271","Caltha_leptosepala"
"272","Canna_indica"
"273","Capsicum_annuum"
"274","Cardamine_parviflora"
"275","Cardiospermum_halicacabum"
"276","Carlina_vulgaris"
"277","Catharanthus_roseus"
"278","Caucalis_platycarpos"
"279","Cichorium_endivia"
"280","Cirsium_ochrocentrum"
"281","Citrus_aurantiifolia"
"282","Coix_lacryma-jobi"
"283","Cotoneaster_moupinensis"
"284","Cucumis_anguria"
"285","Cuscuta_approximata"
"286","Cyclachaena_xanthiifolia"
"287","Cynodon_dactylon"
"288","Cynosurus_echinatus"
"289","Datura_metel"
"290","Echinops_bannaticus"
"291","Echinops_sphaerocephalus"
"292","Eragrostis_curvula"
"293","Euphorbia_glyptosperma"
"294","Euphorbia_lagascae"
"295","Euphorbia_leptocaula"
"296","Euphorbia_rigida"
"297","Euphorbia_sareptana"
"298","Exochorda_racemosa"
"299","Ficus_carica"
"300","Filago_arvensis"
"301","Filipendula_ulmaria"
"302","Galega_officinalis"
"303","Galeopsis_speciosa"
"304","Galium_album"
"305","Galium_saxatile"
"306","Gamochaeta_pensylvanica"
"307","Gamochaeta_purpurea"
"308","Gastridium_ventricosum"
"309","Geranium_lucidum"
"310","Geranium_nepalense"
"311","Geranium_pratense"
"312","Geranium_thunbergii"
"313","Geranium_versicolor"
"314","Gomphrena_globosa"
"315","Gypsophila_paniculata"
"316","Hedera_colchica"
"317","Hedypnois_cretica"
"318","Helianthus_annuus"
"319","Helianthus_laetiflorus"
"320","Heliotropium_curassavicum"
"321","Heliotropium_indicum"
"322","Heuchera_americana"
"323","Hibiscus_trionum"
"324","Hieracium_floribundum"
"325","Holcus_mollis"
"326","Holosteum_umbellatum"
"327","Hosta_lancifolia"
"328","Hovenia_dulcis"
"329","Howea_belmoreana"
"330","Hyparrhenia_hirta"
"331","Hypericum_androsaemum"
"332","Iberis_umbellata"
"333","Impatiens_balfourii"
"334","Ipheion_uniflorum"
"335","Iris_foetidissima"
"336","Iris_sibirica"
"337","Iris_spuria"
"338","Lablab_purpureus"
"339","Lamium_confertum"
"340","Lamium_galeobdolon"
"341","Lawsonia_inermis"
"342","Lepidium_appelianum"
"343","Lepidium_graminifolium"
"344","Lepidium_heterophyllum"
"345","Leucanthemella_serotina"
"346","Leymus_innovatus"
"347","Ligusticum_scoticum"
"348","Linaria_genistifolia"
"349","Linaria_purpurea"
"350","Linaria_supina"
"351","Linum_virginianum"
"352","Liriope_muscari"
"353","Liriope_spicata"
"354","Lobelia_siphilitica"
"355","Lonicera_alpigena"
"356","Lonicera_japonica"
"357","Lopezia_racemosa"
"358","Lupinus_perennis"
"359","Lupinus_plattensis"
"360","Luzula_campestris"
"361","Maianthemum_stellatum"
"362","Malva_sylvestris"
"363","Matthiola_longipetala"
"364","Medicago_monspeliaca"
"365","Medicago_polymorpha"
"366","Medicago_rigidula"
"367","Mimosa_pudica"
"368","Mirabilis_jalapa"
"369","Miscanthus_sinensis"
"370","Misopates_orontium"
"371","Momordica_charantia"
"372","Mosla_dianthera"
"373","Mycelis_muralis"
"374","Nassella_neesiana"
"375","Nepeta_racemosa"
"376","Nicandra_physalodes"
"377","Nicotiana_tabacum"
"378","Nothoscordum_bivalve"
"379","Nothoscordum_borbonicum"
"380","Ononis_natrix"
"381","Ophrys_insectifera"
"382","Opuntia_ficus-indica"
"383","Opuntia_humifusa"
"384","Opuntia_macrorhiza"
"385","Ornithopus_compressus"
"386","Orobanche_crenata"
"387","Orobanche_hederae"
"388","Oryza_rufipogon"
"389","Oxalis_articulata"
"390","Oxalis_latifolia"
"391","Oxalis_pes-caprae"
"392","Oxalis_triangularis"
"393","Oxychilus_cellarius"
"394","Paeonia_mascula"
"395","Papaver_radicatum"
"396","Parapholis_strigosa"
"397","Parietaria_judaica"
"398","Parietaria_pensylvanica"
"399","Pentaglottis_sempervirens"
"400","Pentas_lanceolata"
"401","Pericallis_hybrida"
"402","Petrorhagia_prolifera"
"403","Phedimus_aizoon"
"404","Philadelphus_pubescens"
"405","Phyllostachys_nigra"
"406","Physalis_angulata"
"407","Physalis_longifolia"
"408","Picris_pauciflora"
"409","Pimpinella_major"
"410","Pimpinella_saxifraga"
"411","Plantago_patagonica"
"412","Poa_angustifolia"
"413","Poa_supina"
"414","Polycarpon_tetraphyllum"
"415","Polygonum_arenarium"
"416","Polygonum_plebeium"
"417","Potentilla_pensylvanica"
"418","Primula_elatior"
"419","Psidium_guajava"
"420","Puccinellia_hauptiana"
"421","Puccinellia_nuttalliana"
"422","Pulsatilla_vulgaris"
"423","Ranunculus_gramineus"
"424","Raphanus_sativus"
"425","Reseda_alba"
"426","Reseda_luteola"
"427","Rhodeus_ocellatus"
"428","Ricinus_communis"
"429","Rosa_arvensis"
"430","Rosa_micrantha"
"431","Rosa_setigera"
"432","Rubus_fruticosus"
"433","Rudbeckia_triloba"
"434","Rumex_confertus"
"435","Rumex_crispus"
"436","Rumex_cristatus"
"437","Sagina_saginoides"
"438","Salpichroa_origanifolia"
"439","Salvia_verticillata"
"440","Salvia_viridis"
"441","Salvinia_auriculata"
"442","Santolina_rosmarinifolia"
"443","Satureja_montana"
"444","Saxifraga_hirsuta"
"445","Saxifraga_rosacea"
"446","Saxifraga_sibthorpii"
"447","Saxifraga_umbrosa"
"448","Scabiosa_ochroleuca"
"449","Schoenus_ferrugineus"
"450","Scleranthus_perennis"
"451","Scolymus_hispanicus"
"452","Scopolia_carniolica"
"453","Scorpiurus_muricatus"
"454","Scutellaria_minor"
"455","Secale_montanum"
"456","Sedum_album"
"457","Senecio_squalidus"
"458","Senecio_sylvaticus"
"459","Seseli_libanotis"
"460","Sesleria_caerulea"
"461","Sidalcea_malviflora"
"462","Silene_antirrhina"
"463","Silene_pendula"
"464","Silene_sibirica"
"465","Sinapis_arvensis"
"466","Sisymbrium_irio"
"467","Smelowskia_calycina"
"468","Solanum_alatum"
"469","Solanum_chenopodioides"
"470","Solanum_nigrum"
"471","Solanum_tuberosum"
"472","Spergula_morisonii"
"473","Sphaeralcea_miniata"
"474","Sphaerophysa_salsula"
"475","Stachys_byzantina"
"476","Stachys_cretica"
"477","Stachys_officinalis"
"478","Stenotaphrum_secundatum"
"479","Tagetes_erecta"
"480","Tagetes_minuta"
"481","Tagetes_tenuifolia"
"482","Tanacetum_balsamita"
"483","Taraxacum_laevigatum"
"484","Thalictrum_minus"
"485","Thymelaea_passerina"
"486","Thymus_pulegioides"
"487","Thymus_serpyllum"
"488","Tithonia_diversifolia"
"489","Tolpis_barbata"
"490","Tordylium_apulum"
"491","Torilis_japonica"
"492","Trachelospermum_jasminoides"
"493","Tradescantia_ohiensis"
"494","Trifolium_diffusum"
"495","Trifolium_lappaceum"
"496","Trifolium_ligusticum"
"497","Trifolium_medium"
"498","Trifolium_montanum"
"499","Trifolium_strictum"
"500","Tulipa_sylvestris"
"501","Urochloa_distachya"
"502","Urospermum_picroides"
"503","Urtica_chamaedryoides"
"504","Vachellia_macracantha"
"505","Verbascum_chaixii"
"506","Verbascum_nigrum"
"507","Verbascum_sinuatum"
"508","Verbascum_speciosum"
"509","Verbascum_virgatum"
"510","Verbena_bonariensis"
"511","Verbena_urticifolia"
"512","Verbesina_alternifolia"
"513","Verbesina_occidentalis"
"514","Veronica_biloba"
"515","Veronica_cymbalaria"
"516","Veronica_fruticans"
"517","Veronica_verna"
"518","Vicia_disperma"
"519","Vicia_sylvatica"
"520","Vicia_tenuifolia"
"521","Vinca_major"
"522","Viola_canadensis"
"523","Vitis_cinerea"
"524","Xanthium_spinosum"
"525","Brassica_tournefortii"
"526","Ceratopteris_thalictroides"
"527","Cherax_destructor"
"528","Lemna_aequinoctialis"
"529","Mentha_gentilis"
"530","Rumex_brownii"
"531","Schkuhria_pinnata"
"532","Xiphophorus_maculatus"
"533","Bifora_testiculata"
"534","Hedychium_coronarium"
"535","Marsilea_minuta"
"536","Salsola_soda"
"537","Urena_lobata"
